BENCHMARK,Original_iteration_1,Original_iteration_2,Original_iteration_3,Original_iteration_4,Original_iteration_5,Original_iteration_6,Original_iteration_7,Original_iteration_8,Original_iteration_9,Original_iteration_10,Original_iteration_11,Original_iteration_12,Original_iteration_13,Original_iteration_14,Original_iteration_15,Original_iteration_16,Original_iteration_17,Original_iteration_18,Original_iteration_19,Original_iteration_20,Original_iteration_21,Original_iteration_22,Original_iteration_23,Original_iteration_24,Original_iteration_25,Original_iteration_26,Original_iteration_27,Original_iteration_28,Original_iteration_29,Original_iteration_30,Mutant_iteration_1,Mutant_iteration_2,Mutant_iteration_3,Mutant_iteration_4,Mutant_iteration_5,Mutant_iteration_6,Mutant_iteration_7,Mutant_iteration_8,Mutant_iteration_9,Mutant_iteration_10,Mutant_iteration_11,Mutant_iteration_12,Mutant_iteration_13,Mutant_iteration_14,Mutant_iteration_15,Mutant_iteration_16,Mutant_iteration_17,Mutant_iteration_18,Mutant_iteration_19,Mutant_iteration_20,Mutant_iteration_21,Mutant_iteration_22,Mutant_iteration_23,Mutant_iteration_24,Mutant_iteration_25,Mutant_iteration_26,Mutant_iteration_27,Mutant_iteration_28,Mutant_iteration_29,Mutant_iteration_30,Lower_CI_original,Upper_CI_original,Lower_CI_mutant,Upper_CI_mutant,Lower_RCI,Upper_RCI
org.eclipse.collections.impl,1701080.613,1680777.487,1709859.743,1723176.194,1752141.023,1742120.496,1722187.03,1743514.949,1570571.767,1755877.343,1734126.808,1735693.88,1729153.569,1738761.2,1751223.121,1748368.219,1694377.134,1721317.621,1732976.249,1722363.582,1717079.393,1718537.849,1748928.929,1743273.53,1757438.029,1759402.689,1736144.958,1546306.374,1666712.812,1755476.426,1482143.1,1427196.065,1486396.956,1485921.548,1329083.724,1462648.577,1461406.069,1486763.164,1494950.829,1475514.085,1428090.166,1458356.498,1461944.36,1472729.958,1457099.012,1450511.691,1459786.644,1460421.71,1502700.721,1492345.733,1469555.745,1497376.509,1508931.389,1521624.981,1510160.486,1502254.459,1503170.557,1503880.753,1494271.803,1505250.805,1698401,1737553,1452656,1485053,0.8542464,0.8553057
org.eclipse.collections.impl.bag,1917834.112,1868255.537,1939852.478,1935839.424,1908010.863,1884683.39,1885409.865,1911554.903,1890208.29,1900883.267,1933093.944,1965262.3,1890024.876,1952971.944,1940222.227,1903722.023,1944537.127,1903318.654,1901846.743,1951982.435,1880374.547,1937197.392,1929497.094,1897658.609,1949674.506,1928714.336,1900755.817,1982377.788,1919291.211,1913727.128,1823229.962,1598808.604,1766939.011,1820946.836,1862993.334,1814581.519,1798656.876,1655538.152,1840707.442,1813772.066,1825815.279,1849484.696,1834570.769,1822180.126,1852663.803,1680652.067,1803718.902,1757277.782,1746678.722,1864315.371,1747834.632,1857487.745,1864015.537,1833555.612,1833576.052,1851823.043,1777742.214,1647841.115,1780361.86,1824283.093,1905970,1931114,1762768,1824873,0.9248665,0.944985
org.eclipse.collections.impl.bimap.mutable,757036.0373,771564.7537,791722.6802,806798.4699,790589.4123,706020.3119,796121.8467,759197.5325,750761.7726,801339.7417,779167.8286,756139.9686,770582.3704,791904.925,797536.9988,771939.9379,788610.1352,805912.7437,813550.1074,811044.0769,811597.7608,808771.9108,815571.109,813542.1744,795925.5325,763815.1435,783994.133,800612.7262,801804.3705,783483.7408,754063.4378,745962.4527,749938.0788,747417.5068,755009.6866,755594.2694,747154.6978,738223.4148,755619.4138,742233.0056,758717.107,729350.74,726462.7409,721551.0635,748753.5645,734360.6728,746117.3806,755123.0914,739776.8485,754747.5504,757729.9057,755553.1288,756210.6791,747433.0818,738908.5476,759552.3147,755046.597,748602.5944,739548.8663,712992.8663,773731.5,796390.9,740456.5,750699.8,0.9426201,0.9569922
org.eclipse.collections.impl.lazy.parallel.list,2240538.164,2022673.978,2071223.247,2068642.828,2049996.959,2043935.217,2040511.019,2035867.454,2068678.884,2078725.071,1806661.466,2066152.26,2070536.378,2068389.133,2082444.898,2063066.709,2066064.263,2071809.519,2071464.728,2053994.165,2081516.904,2070230.325,2099092.016,2049722.31,2079365.374,2062473.654,2029498.114,2045395.863,2075674.719,2071004.377,1891228.081,1910926.231,1982078.352,1948067.64,1968735.182,2011302.814,1949999.789,1980069.921,2013321.667,1976546.85,1999489.052,1972423.093,2025689.561,1990662.074,2014137.318,1981636.104,1788215.915,1974662.867,1994686.495,1980148.285,1969371.464,1938482.038,2042165.726,1984108.564,1984419.03,2000227.137,2002754.64,2005020.242,2008017.308,2002126.491,2024727,2085984,1946553,1993348,0.9555937,0.9613985
org.eclipse.collections.impl.list.immutable,2100971.885,2078742.663,2185510.29,2156461.818,2067214.45,2014662.42,2065281.552,1926076.806,1913550.832,1916255.646,1800339.929,1712952.672,1684349.328,1829453.829,2033130.999,2032187.496,2071068.29,2077139.9,2104386.402,2128169.18,2135353.888,2166234.15,2132851.037,2100332.692,1109505.644,1186540.74,1873077.588,1922518.071,2111055.084,1933386.316,1827829.124,1809396.355,1850648.455,1879767.406,1848658.604,1857475.031,1833225.149,1684742.196,1783307.671,1896265.408,1905919.481,1885917.494,1834422.593,1911764.779,1933579.137,1836753.949,1582988.388,1829180.273,1781008.013,1847284.293,1862547.23,1887487.628,1910018.432,1922099.635,1835691.223,1876841.786,1783450.234,1875236.549,1912117.629,1876736.091,1835289,2051336,1800117,1873893,0.9135091,0.9808518
org.eclipse.collections.impl.map.immutable,690719.3031,621629.071,682827.6266,685897.417,693474.2318,665021.4957,694734.7373,701118.6432,696123.6761,681657.1814,687529.9201,681069.884,683704.437,697240.4645,692541.893,703309.6311,694408.4816,700887.158,705495.1555,705143.8233,695403.3598,676276.9688,695181.982,701706.2739,684242.4887,609015.3441,679671.4044,687854.6085,660601.2071,688685.9715,608816.046,624377.4508,644468.0083,634795.3371,656892.8438,662049.3442,669697.5853,688557.152,678143.5675,670585.6014,689301.3306,689362.6038,658079.6714,639418.4706,681775.6674,698697.4735,683665.5081,701130.9507,699271.7753,675012.5758,686035.8747,690390.2198,701660.2517,692752.3755,690112.46,692096.4447,682999.0862,692455.6889,690374.504,678349.4823,676895.1,694605.8,662819.4,684908.5,0.9792129,0.9860397
org.eclipse.collections.impl.map.mutable,908796.7342,827674.9198,861726.0488,848505.6379,890474.6927,899639.6495,902853.643,920748.1201,907438.8333,923206.449,898919.6348,924652.6557,882622.2104,918136.9687,925780.7451,932388.4576,929079.4297,906697.0219,915215.6389,909881.7447,917211.8771,920775.0402,919516.3299,932119.3128,936942.508,937749.8496,925566.6428,936119.7919,897114.7589,923947.4522,907865.8517,799041.0125,921233.6325,901445.6735,909284.4752,952315.5033,829355.583,923556.5696,876242.7991,931425.0759,920619.5427,865631.0048,907595.7949,898872.9636,786611.5056,831639.2637,920315.0627,893014.6414,903833.2845,901479.5652,946570.848,894145.3801,894162.4342,901990.5189,899224.7711,933054.3463,929665.1374,811306.4219,918656.3935,916037.8331,896277.3,919129.6,871203.3,910353.4,0.9720297,0.9904501
org.eclipse.collections.impl.map.strategy,2011859.4,2047737.712,2047246.413,2031026.162,2064692.995,2028343.92,2059711.853,2031462.435,2073031.638,2005254.932,2067560.184,2067514.581,2121911.083,2072174.327,2046566.05,2070505.629,2136942.093,2069192.107,2073990.698,2081629.461,2073855.631,2068069.44,2058016.98,2103884.171,2088069.717,2001996.462,2115397.573,2028525.926,2006561.984,2041279.907,2043132.836,1943868.631,2180446.378,2057334.295,2098848.737,1911478.53,1711692.842,1654408.446,1630611.989,1604575.371,1528371.136,1329694.323,1468712.46,1944616.622,2116532,2167660.521,2160560.43,2163085.593,2217644.164,2212996.463,2171999.414,2190574.481,2205061.01,2188637.233,2198158.837,2197767.077,2190738.389,2228615.422,2184320.228,2159072.738,2048174,2078505,1828461,2088633,0.8927297,1.004873
org.eclipse.collections.impl.multimap.bag,2042754.587,2008893.992,2258723.327,2254553.991,2063875.807,2258228.714,2231544.206,2016325.846,2249631.697,2215947.096,2193000.115,2204743.946,2139643.107,1890332.259,2192689.097,2225400.058,2194971.566,2224825.852,2225912.249,2215579.182,2214790.134,2023049.586,2258746.357,2243223.336,2195845.452,2147772.69,2165496.98,2130442.989,2224583.549,2227295.409,2263982.061,2264637.622,2277653.495,2282488.52,2215222.039,2202911.607,2259402.634,2170811.253,2268587.431,2281112.823,2254606.921,2284215.628,2306969.471,2298431.661,2275360.873,2288108.296,2270702.048,2269711.167,2123099.548,2031121.656,1854730.447,2056432.391,1934317.896,1909586.989,1808150.724,2290996.472,2046097.46,2253572.768,2281062.271,2307206.766,2119640,2209054,2124608,2252837,1.002345,1.019801
org.eclipse.collections.impl.multimap.set,1247816.184,1233925.381,1254987.724,1242452.11,1245093.544,1227347.22,1249597.781,1258574.084,1252502.22,1260182.308,1281503.551,1283314.173,1246241.676,1241813.847,1254937.544,1254700.662,1227549.499,1249131.663,1265577.26,1259973.256,922236.4109,476818.4696,1038339.775,1152429.702,1257048.734,1158259.27,1266288.932,1217756.743,1196136.326,1241538.605,1212368.383,1134715.568,1158965.124,1167252.861,1200864.18,1181388.456,1148198.368,1184556.89,1189354.735,1252830.845,1159798.612,993319.6849,1183314.254,1208440.969,1177566.92,1174674.431,1173242.762,1187355.868,1217908.558,1244675.696,1084215.214,1228925.808,1292578.721,1301084.728,1306812.16,1298342.364,1298860.878,1309152.598,1300144.247,1273472.961,1113574,1251856,1161229,1225113,0.9772386,1.042845
org.eclipse.collections.impl.string.immutable,1874467.885,1796251.56,1873209.023,1861146.293,1857218.102,1842125.486,1849750.096,1869062.43,1840692.513,1861494.888,1891304.094,1878883.745,1891527.939,1889927.785,1861095.253,1901105.882,562461.5285,1519376.379,1675179.605,1670893.319,1719709.475,1886313.284,1902653.162,1670792.33,1893376.971,1892954.829,1874703.034,1740267.734,1879585.093,1872147.59,1848698.845,1855156.979,1867142.748,1883401.105,1811814.932,1633137.355,1854980.968,1884200.333,1857041.208,1867379.664,1883352.727,1869562.27,1851072.799,1882786.66,1779425.052,1890112.762,1839567.723,1849846.723,1887164.125,1795772.98,1853036.393,1868627.225,1846043.902,1846788.95,1824046.481,1874332.167,1883579.794,1880466.392,1877442.859,1885746.243,1609163,1858912,1821931,1867405,1.004569,1.132223