Mutantion type,hitting count,Lower_CI_original,Upper_CI_original,Lower_CI_mutant,Upper_CI_mutant,Lower_RCI,Upper_RCI
EFL,1,4.47E+02,4.48E+02,4.46E+02,4.47E+02,9.96E-01,9.98E-01
,10,4.46E+02,4.47E+02,4.47E+02,4.48E+02,1.00E+00,1.00E+00
,100,4.48E+02,4.48E+02,4.47E+02,4.48E+02,9.98E-01,9.99E-01
,1000,4.46E+02,4.47E+02,4.46E+02,4.46E+02,9.99E-01,9.99E-01
,10000,4.35E+02,4.36E+02,4.28E+02,4.30E+02,9.84E-01,9.87E-01
,100000,3.49E+02,3.49E+02,3.37E+02,3.38E+02,9.68E-01,9.68E-01
,1000000,1.22E+02,1.22E+02,1.08E+02,1.13E+02,8.84E-01,9.20E-01
HWO,1,4.47E+02,4.48E+02,3.92E+02,3.94E+02,8.77E-01,8.79E-01
,10,4.48E+02,4.48E+02,3.92E+02,3.93E+02,8.76E-01,8.78E-01
,100,4.47E+02,4.48E+02,3.86E+02,3.87E+02,8.64E-01,8.65E-01
,1000,4.47E+02,4.48E+02,3.66E+02,3.67E+02,8.19E-01,8.21E-01
,10000,4.40E+02,4.41E+02,3.52E+02,3.53E+02,8.00E-01,8.01E-01
,100000,3.94E+02,3.94E+02,3.03E+02,3.04E+02,7.69E-01,7.71E-01
,1000000,1.94E+02,1.95E+02,1.60E+02,1.60E+02,8.25E-01,8.25E-01
PTW,1,4.48E+02,4.49E+02,4.48E+02,4.48E+02,9.99E-01,9.99E-01
,10,4.48E+02,4.48E+02,4.47E+02,4.48E+02,9.99E-01,9.99E-01
,100,4.48E+02,4.48E+02,4.47E+02,4.48E+02,9.99E-01,9.99E-01
,1000,4.46E+02,4.47E+02,4.45E+02,4.45E+02,9.97E-01,9.97E-01
,10000,4.41E+02,4.42E+02,4.23E+02,4.23E+02,9.58E-01,9.58E-01
,100000,3.95E+02,3.95E+02,2.90E+02,2.91E+02,7.35E-01,7.36E-01
,1000000,1.98E+02,1.98E+02,7.49E+01,7.51E+01,3.79E-01,3.79E-01
SOC,1,3.52E+02,3.53E+02,2.97E+02,2.97E+02,8.43E-01,8.44E-01
,10,3.52E+02,3.52E+02,2.98E+02,2.99E+02,8.47E-01,8.48E-01
,100,3.51E+02,3.52E+02,2.98E+02,2.98E+02,8.46E-01,8.47E-01
,1000,3.52E+02,3.53E+02,2.98E+02,2.98E+02,8.46E-01,8.48E-01
,10000,3.46E+02,3.47E+02,2.96E+02,2.96E+02,8.53E-01,8.54E-01
,100000,3.28E+02,3.29E+02,2.75E+02,2.76E+02,8.39E-01,8.41E-01
,1000000,2.00E+02,2.00E+02,1.65E+02,1.66E+02,8.26E-01,8.27E-01
STS,1,4.47E+02,4.47E+02,4.47E+02,4.48E+02,1.00E+00,1.00E+00
,10,4.46E+02,4.47E+02,4.46E+02,4.47E+02,1.00E+00,1.00E+00
,100,4.47E+02,4.47E+02,4.46E+02,4.47E+02,9.98E-01,9.98E-01
,1000,4.42E+02,4.43E+02,4.38E+02,4.38E+02,9.89E-01,9.90E-01
,10000,4.06E+02,4.07E+02,3.79E+02,3.80E+02,9.33E-01,9.33E-01
,100000,2.04E+02,2.07E+02,1.96E+02,1.98E+02,9.56E-01,9.59E-01
,1000000,1.88E+01,2.06E+01,1.28E+01,1.42E+01,6.82E-01,6.88E-01